univ,titre,annee,nom,prenom,domaine,lang,type,nbPages,url,l2,Diff_12
Concordia,?ucation artistique et technologie de la mobilit? des moyens d'engagement civique et acad?ique pour les jeunes ?risque.,2013,Lalonde,Martin,Éducation / Pédagogie,en,maîtrise,234,https://spectrum.library.concordia.ca/977266/,fr,Diff
UdeM,'Are We Now Equal?' Recent experiences and perceptions of South American migrants in Argentina under MERCOSUR,2012,Recalde,Aranzazu,Anthropologie,en,doctorat,325,http://hdl.handle.net/1866/9055,en,
UdeM,"""A Most Weird Dialectic of Inversion"" : revolutionary fraternity, sexuality and translation in Pierre Vallières and Eldridge Cleaver",2013,Burton,William M.,Lettres et littérature,en,maîtrise,110,http://hdl.handle.net/1866/10672,en,
UQAM,"""Connect nothing"" : Leonard Cohen's Beautiful Losers, Tsangnyön Heruka's The Life of Milarepa and Vajrayana Buddhism",2019,Weissfelner,Mark,Sciences des religions,en,maîtrise,171,https://archipel.uqam.ca/12795/,en,
Laval,"""Everything was designed to make sure that this thing endured"" : processus de légitimation et la responsabilité de protéger",2016,Bélanger-Vincent,Ariane,Anthropologie,fr,doctorat,301,https://corpus.ulaval.ca/jspui/handle/20.500.11794/26938?mode=full,en,Diff
UQAM,"""I'm not English, I just speak it"" : Quebecers and second language motivation",2012,?,?,Linguistique,fr,maîtrise,128,http://www.archipel.uqam.ca/5660/,en,Diff
UQAM,"""It's like I told you"" : essays on the economic analysis of interpersonal communication",2012,?,?,Gestion,en,doctorat,190,http://www.archipel.uqam.ca/5072/,en,
UQAM,"""Near enough to be neighbors yet strange enough to be the goal of our pilgrimage"" : tourisme, consommation et représentations identitaires dans la péninsule gaspésienne (1929-1966)",2017,Archambault,Jacinthe,Histoire,fr,doctorat,347,https://archipel.uqam.ca/9429/,en,Diff
UQAM,"""Newark will have money to spend!"" : émeutes, logement social et ghettoïsation des afro-américains, 1934-1967",2019,Vallée-Payette,Jonathan,Histoire,en,maîtrise,152,https://archipel.uqam.ca/13483/,fr,Diff
UdeM,"""Procalcitonine et protéine C-réactive comme marqueurs des infections bactériennes : une revue systématique et une méta-analyse""",2003,Simon,Liliana,Sciences biomédicales,en,maîtrise,151,http://hdl.handle.net/1866/14177,fr,Diff
UdeS,"""Rare Poems Ask Rare Friends"" : Literary Circles and Cultural Capital : The Case of Montreal's Jubilate Circle",2014,Frédette,Julie,Lettres et littérature,en,doctorat,259,https://savoirs.usherbrooke.ca/handle/11143/94,en,
Laval,"""Sensor-in-fibre"" optical probes for molecular sensing in the gastrointestinal tract of murine models",2019,Azzi,Victor,Physique,en,maîtrise,130,https://corpus.ulaval.ca/jspui/handle/20.500.11794/37631?mode=full,en,
Concordia,"""Sous les balles des troupes fédérales"" : representing the Quebec Ciry riots in francophone Quebec (1919-2009)",2009,Young,Chris,Histoire,en,maîtrise,135,https://spectrum.library.concordia.ca/976611/,fr,Diff
